pair_id,condition,opponent_type,communication,game_type,cooperation
1,1,0,0,0,0
1,1,0,0,1,0
1,1,0,0,0,1
1,1,0,0,1,0
2,1,0,0,0,1
2,1,0,0,1,1
2,1,0,0,0,1
2,1,0,0,1,0
3,1,0,0,0,1
3,1,0,0,1,1
3,1,0,0,0,0
3,1,0,0,1,1
4,1,0,0,0,0
4,1,0,0,1,1
4,1,0,0,0,0
4,1,0,0,1,0
5,1,0,0,0,1
5,1,0,0,1,1
5,1,0,0,0,1
5,1,0,0,1,0
6,1,0,0,0,0
6,1,0,0,1,0
6,1,0,0,0,0
6,1,0,0,1,1
7,1,0,0,0,1
7,1,0,0,1,0
7,1,0,0,0,1
7,1,0,0,1,0
8,1,0,0,0,0
8,1,0,0,1,0
8,1,0,0,0,1
8,1,0,0,1,1
9,1,0,0,0,1
9,1,0,0,1,1
9,1,0,0,0,0
9,1,0,0,1,0
10,1,0,0,0,1
10,1,0,0,1,1
10,1,0,0,0,1
10,1,0,0,1,1
11,1,0,0,0,1
11,1,0,0,1,0
11,1,0,0,0,0
11,1,0,0,1,1
12,1,0,0,0,1
12,1,0,0,1,1
12,1,0,0,0,1
12,1,0,0,1,1
13,1,0,0,0,1
13,1,0,0,1,1
13,1,0,0,0,1
13,1,0,0,1,1
14,1,0,0,0,0
14,1,0,0,1,1
14,1,0,0,0,0
14,1,0,0,1,1
15,1,0,0,0,0
15,1,0,0,1,1
15,1,0,0,0,1
15,1,0,0,1,1
16,1,0,0,0,0
16,1,0,0,1,1
16,1,0,0,0,1
16,1,0,0,1,0
17,1,0,0,0,1
17,1,0,0,1,0
17,1,0,0,0,0
17,1,0,0,1,1
18,1,0,0,0,0
18,1,0,0,1,0
18,1,0,0,0,1
18,1,0,0,1,1
19,1,0,0,0,1
19,1,0,0,1,1
19,1,0,0,0,1
19,1,0,0,1,1
20,1,0,0,0,0
20,1,0,0,1,0
20,1,0,0,0,1
20,1,0,0,1,0
21,1,0,0,0,1
21,1,0,0,1,0
21,1,0,0,0,1
21,1,0,0,1,0
22,1,0,0,0,1
22,1,0,0,1,0
22,1,0,0,0,1
22,1,0,0,1,0
23,1,0,0,0,0
23,1,0,0,1,1
23,1,0,0,0,0
23,1,0,0,1,1
24,1,0,0,0,0
24,1,0,0,1,1
24,1,0,0,0,0
24,1,0,0,1,1
25,1,0,0,0,1
25,1,0,0,1,1
25,1,0,0,0,1
25,1,0,0,1,1
26,1,0,0,0,1
26,1,0,0,1,0
26,1,0,0,0,1
26,1,0,0,1,0
27,1,0,0,0,0
27,1,0,0,1,1
27,1,0,0,0,0
27,1,0,0,1,1
28,1,0,0,0,1
28,1,0,0,1,0
28,1,0,0,0,0
28,1,0,0,1,1
29,1,0,0,0,0
29,1,0,0,1,1
29,1,0,0,0,0
29,1,0,0,1,1
30,1,0,0,0,0
30,1,0,0,1,0
30,1,0,0,0,0
30,1,0,0,1,0
31,1,0,0,0,1
31,1,0,0,1,0
31,1,0,0,0,0
31,1,0,0,1,1
32,1,0,0,0,1
32,1,0,0,1,0
32,1,0,0,0,1
32,1,0,0,1,1
33,1,0,0,0,1
33,1,0,0,1,0
33,1,0,0,0,0
33,1,0,0,1,1
34,1,0,0,0,0
34,1,0,0,1,1
34,1,0,0,0,1
34,1,0,0,1,1
35,1,0,0,0,0
35,1,0,0,1,1
35,1,0,0,0,0
35,1,0,0,1,0
36,1,0,0,0,0
36,1,0,0,1,0
36,1,0,0,0,0
36,1,0,0,1,1
37,1,0,0,0,1
37,1,0,0,1,0
37,1,0,0,0,0
37,1,0,0,1,1
38,1,0,0,0,1
38,1,0,0,1,1
38,1,0,0,0,1
38,1,0,0,1,1
39,1,0,0,0,0
39,1,0,0,1,0
39,1,0,0,0,0
39,1,0,0,1,1
40,1,0,0,0,1
40,1,0,0,1,0
40,1,0,0,0,0
40,1,0,0,1,1
41,1,0,0,0,0
41,1,0,0,1,0
41,1,0,0,0,1
41,1,0,0,1,1
42,1,0,0,0,0
42,1,0,0,1,0
42,1,0,0,0,1
42,1,0,0,1,1
43,1,0,0,0,1
43,1,0,0,1,1
43,1,0,0,0,1
43,1,0,0,1,1
44,1,0,0,0,1
44,1,0,0,1,0
44,1,0,0,0,1
44,1,0,0,1,0
45,1,0,0,0,1
45,1,0,0,1,1
45,1,0,0,0,1
45,1,0,0,1,1
46,1,0,0,0,1
46,1,0,0,1,1
46,1,0,0,0,0
46,1,0,0,1,0
47,1,0,0,0,1
47,1,0,0,1,1
47,1,0,0,0,1
47,1,0,0,1,1
48,1,0,0,0,1
48,1,0,0,1,0
48,1,0,0,0,1
48,1,0,0,1,0
49,1,0,0,0,1
49,1,0,0,1,0
49,1,0,0,0,0
49,1,0,0,1,0
50,1,0,0,0,0
50,1,0,0,1,0
50,1,0,0,0,1
50,1,0,0,1,1
51,2,0,1,0,1
51,2,0,1,1,1
51,2,0,1,0,0
51,2,0,1,1,1
52,2,0,1,0,1
52,2,0,1,1,1
52,2,0,1,0,1
52,2,0,1,1,1
53,2,0,1,0,0
53,2,0,1,1,1
53,2,0,1,0,0
53,2,0,1,1,0
54,2,0,1,0,0
54,2,0,1,1,0
54,2,0,1,0,0
54,2,0,1,1,0
55,2,0,1,0,1
55,2,0,1,1,0
55,2,0,1,0,1
55,2,0,1,1,1
56,2,0,1,0,1
56,2,0,1,1,1
56,2,0,1,0,1
56,2,0,1,1,0
57,2,0,1,0,0
57,2,0,1,1,1
57,2,0,1,0,0
57,2,0,1,1,0
58,2,0,1,0,1
58,2,0,1,1,1
58,2,0,1,0,1
58,2,0,1,1,1
59,2,0,1,0,1
59,2,0,1,1,1
